Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Israel,ISR,"Life expectancy at birth, total (years)",81.6024390243903,81.6560975609756,81.7048780487805,82.0560975609756,82.1536585365854,82.0512195121951,82.4073170731707,82.5512195121951,82.8024390243903,82.8048780487805,82.6487804878049,82.5,82.7,82.7
Italy,ITA,"Life expectancy at birth, total (years)",82.0365853658537,82.1878048780488,82.2390243902439,82.690243902439,83.090243902439,82.5439024390244,83.2439024390244,82.9463414634147,83.3463414634146,83.4975609756098,82.1951219512195,82.6463414634146,82.9,82.9
Jamaica,JAM,"Life expectancy at birth, total (years)",72.622,73.094,73.433,73.412,72.982,72.394,72.02,71.911,71.793,71.767,71.869,70.5,70.629,70.629
Jordan,JOR,"Life expectancy at birth, total (years)",74.0,74.189,74.366,74.562,74.789,75.011,75.215,75.502,75.774,76.044,75.184,74.256,74.215,74.215
Japan,JPN,"Life expectancy at birth, total (years)",82.8426829268293,82.5912195121951,83.0960975609756,83.3319512195122,83.5878048780488,83.7939024390244,83.9848780487805,84.099756097561,84.2109756097561,84.3563414634146,84.56,84.4456097560976,83.9963414634146,83.9963414634146
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",68.45,68.69,69.52,70.62,71.44,71.97,72.41,72.95,73.15,73.18,71.37,70.23,74.44,74.44
Kenya,KEN,"Life expectancy at birth, total (years)",60.649,61.046,61.115,61.389,61.816,61.892,62.163,62.481,62.676,62.943,62.675,61.427,62.055,62.055
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",69.3,69.6024390243903,70.0024390243902,70.2024390243902,70.4024390243902,70.6512195121951,70.9512195121951,71.2,71.4,71.6,71.8,71.9,72.0487804878049,72.0487804878049
Cambodia,KHM,"Life expectancy at birth, total (years)",67.712,68.416,68.915,69.304,69.736,69.873,70.224,70.515,70.561,70.692,70.416,69.584,69.896,69.896
"Korea, Rep.",KOR,"Life expectancy at birth, total (years)",80.1170731707317,80.5682926829269,80.819512195122,81.2707317073171,81.7219512195122,82.0243902439024,82.2756097560976,82.6268292682927,82.6268292682927,83.2268292682927,83.4268292682927,83.5268292682927,82.6804878048781,82.6804878048781
Kuwait,KWT,"Life expectancy at birth, total (years)",77.982,78.464,78.812,79.164,79.445,79.562,79.701,79.781,79.722,79.685,76.92,78.673,80.264,80.264
Lao PDR,LAO,"Life expectancy at birth, total (years)",63.973,64.736,65.355,65.718,66.361,66.67,67.167,67.434,67.634,68.138,68.497,68.061,68.999,68.999
Lebanon,LBN,"Life expectancy at birth, total (years)",78.156,78.404,78.628,78.765,78.973,79.229,79.505,79.654,79.729,79.236,77.804,75.047,74.416,74.416
Liberia,LBR,"Life expectancy at birth, total (years)",59.433,59.62,59.913,59.943,59.121,59.148,60.416,60.553,60.853,61.104,60.948,60.747,61.1,61.1
Libya,LBY,"Life expectancy at birth, total (years)",72.374,70.071,72.247,72.34,71.511,71.698,71.756,72.482,72.794,72.463,72.472,71.911,72.151,72.151
Sri Lanka,LKA,"Life expectancy at birth, total (years)",73.215,73.38,73.906,74.239,74.651,74.927,75.331,75.403,75.748,76.008,76.393,76.399,76.61,76.61
Lesotho,LSO,"Life expectancy at birth, total (years)",45.596,46.692,47.835,49.002,50.033,51.101,52.264,53.064,53.733,54.173,54.693,53.062,53.036,53.036
Lithuania,LTU,"Life expectancy at birth, total (years)",73.2682926829268,73.5634146341464,73.8634146341464,73.9146341463415,74.5170731707317,74.3219512195122,74.6707317073171,75.4804878048781,75.6804878048781,76.2829268292683,74.9780487804878,74.0365853658537,75.7926829268293,75.7926829268293
Luxembourg,LUX,"Life expectancy at birth, total (years)",80.6317073170732,80.9878048780488,81.3926829268293,81.8,82.2292682926829,82.2926829268293,82.6853658536585,82.0951219512195,82.2951219512195,82.6390243902439,82.1439024390244,82.5975609756098,83.0463414634146,83.0463414634146
Latvia,LVA,"Life expectancy at birth, total (years)",73.4829268292683,73.5756097560976,73.7780487804878,73.9829268292683,74.1243902439024,74.4804878048781,74.580487804878,74.6292682926829,74.7829268292683,75.3878048780488,75.1853658536585,72.9804878048781,74.580487804878,74.580487804878
Morocco,MAR,"Life expectancy at birth, total (years)",70.829,71.269,71.679,72.122,72.538,72.92,73.284,73.66,73.986,74.27,73.92,74.042,74.973,74.973
Moldova,MDA,"Life expectancy at birth, total (years)",69.357,69.192,69.143,69.099,69.031,69.24,69.917,70.516,70.492,70.935,70.166,68.846,68.621,68.621
Madagascar,MDG,"Life expectancy at birth, total (years)",62.873,63.494,63.544,63.962,64.255,64.339,64.997,65.094,65.27,65.882,65.182,64.485,65.23,65.23
Mexico,MEX,"Life expectancy at birth, total (years)",74.19,74.365,74.574,74.739,74.797,74.682,74.412,74.138,74.015,74.202,70.133,70.213,74.832,74.832
North Macedonia,MKD,"Life expectancy at birth, total (years)",74.9975609756098,75.1,74.9024390243903,75.4,75.4512195121951,75.4024390243902,75.4,75.9536585365854,76.6487804878049,76.6024390243903,74.3951219512195,73.2463414634146,74.4248780487805,74.4248780487805
Mali,MLI,"Life expectancy at birth, total (years)",56.382,56.755,57.079,57.357,57.9,58.363,58.731,59.132,59.393,59.664,58.633,58.941,59.417,59.417
Malta,MLT,"Life expectancy at birth, total (years)",81.3975609756098,80.7463414634146,80.7463414634146,81.7463414634146,82.0463414634146,81.8975609756097,82.4536585365854,82.3463414634146,82.4487804878049,82.8585365853659,82.3487804878049,82.5073170731707,82.7,82.7
Myanmar,MMR,"Life expectancy at birth, total (years)",63.329,63.901,64.141,64.815,65.056,65.561,65.685,65.843,66.465,66.61,66.797,65.672,67.256,67.256
Montenegro,MNE,"Life expectancy at birth, total (years)",75.990243902439,75.9829268292683,76.2,76.490243902439,76.4414634146341,76.4487804878049,76.4414634146341,76.4853658536585,76.8414634146342,76.6829268292683,75.9317073170732,73.8243902439024,76.1878048780488,76.1878048780488
Mongolia,MNG,"Life expectancy at birth, total (years)",67.182,67.439,68.111,68.585,69.047,69.498,69.865,70.237,71.199,71.822,72.141,70.975,72.667,72.667
Mozambique,MOZ,"Life expectancy at birth, total (years)",54.198,54.869,55.639,56.492,57.274,58.151,59.038,59.771,60.526,61.166,61.172,59.325,59.625,59.625
Mauritania,MRT,"Life expectancy at birth, total (years)",63.105,63.346,63.578,63.911,64.155,64.485,64.768,65.083,65.31,65.687,64.532,64.364,64.691,64.691
Mauritius,MUS,"Life expectancy at birth, total (years)",72.9673170731707,73.2668292682927,73.8634146341464,74.0170731707317,74.1943902439024,74.3531707317073,74.3948780487805,74.5146341463415,74.4163414634146,74.2358536585366,74.1770731707317,73.680243902439,73.5146341463415,73.5146341463415
Malawi,MWI,"Life expectancy at birth, total (years)",56.381,57.455,58.679,59.729,60.899,61.378,62.209,62.977,63.276,64.119,63.717,62.904,62.898,62.898
Malaysia,MYS,"Life expectancy at birth, total (years)",74.442,74.746,74.944,75.035,75.146,75.094,75.289,75.476,75.644,75.76,75.938,74.884,76.26,76.26
Namibia,NAM,"Life expectancy at birth, total (years)",56.015,56.553,57.64,58.694,59.822,60.7,61.682,62.293,62.586,63.075,62.829,59.269,58.059,58.059
Niger,NER,"Life expectancy at birth, total (years)",58.367,58.994,59.65,60.239,60.786,61.083,61.629,62.16,62.454,62.897,61.451,61.576,62.08,62.08
Nigeria,NGA,"Life expectancy at birth, total (years)",50.945,51.357,51.497,51.707,51.791,51.841,52.043,52.305,52.554,52.91,52.887,52.676,53.633,53.633
Nicaragua,NIC,"Life expectancy at birth, total (years)",72.009,72.416,72.615,72.704,72.812,72.983,73.256,73.554,73.85,74.054,71.795,73.837,74.615,74.615
Netherlands,NLD,"Life expectancy at birth, total (years)",80.7024390243902,81.2048780487805,81.1048780487805,81.3048780487805,81.7073170731707,81.509756097561,81.5609756097561,81.7609756097561,81.8121951219512,82.1121951219512,81.3585365853659,81.309756097561,81.7146341463415,81.7146341463415
Norway,NOR,"Life expectancy at birth, total (years)",80.9975609756098,81.2951219512195,81.4512195121951,81.7512195121951,82.1,82.3048780487805,82.4073170731707,82.609756097561,82.7585365853659,82.9585365853659,83.209756097561,83.1634146341463,82.5609756097561,82.5609756097561
Nepal,NPL,"Life expectancy at birth, total (years)",66.814,67.313,67.47,67.965,68.085,67.456,68.776,68.91,68.979,69.558,69.246,68.45,70.484,70.484
