Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Panama,PAN,Gini index,51.6,51.3,51.7,51.5,50.5,50.8,50.4,49.9,49.2,49.8,49.8,50.9,50.9,48.9
Peru,PER,Gini index,45.5,44.7,44.4,43.9,43.1,43.4,43.6,43.3,42.4,41.5,43.7,40.1,40.3,40.3
Philippines,PHL,Gini index,46.5,46.5,46.5,46.5,44.6,44.6,44.6,42.3,42.3,42.3,40.7,40.7,40.7,40.7
Papua New Guinea,PNG,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Poland,POL,Gini index,33.2,33.2,33.0,33.1,32.8,31.8,31.2,29.7,30.2,28.8,28.5,28.5,28.5,28.5
"Korea, Dem. People's Rep.",PRK,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Portugal,PRT,Gini index,35.8,36.3,36.0,36.2,35.6,35.5,35.2,33.8,33.5,32.8,34.7,34.6,34.6,34.6
Paraguay,PRY,Gini index,51.0,52.3,47.6,47.9,50.7,47.6,47.9,48.5,46.0,45.7,43.5,42.9,45.1,45.1
West Bank and Gaza,PSE,Gini index,35.3,34.4,34.4,34.4,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7
Qatar,QAT,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Romania,ROU,Gini index,35.5,35.9,36.5,36.9,36.0,35.9,34.4,36.0,35.8,34.8,34.6,33.9,33.9,33.9
Russian Federation,RUS,Gini index,39.5,39.7,40.7,40.9,39.9,37.7,36.8,37.2,37.5,37.7,36.0,36.0,36.0,36.0
Rwanda,RWA,Gini index,47.2,47.2,45.1,45.1,45.1,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7
Saudi Arabia,SAU,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Sudan,SDN,Gini index,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2
Senegal,SEN,Gini index,40.3,40.3,40.3,40.3,40.3,38.3,38.3,38.3,38.3,38.3,36.2,36.2,36.2,36.2
Singapore,SGP,Gini index,63.4,63.4,63.4,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Sierra Leone,SLE,Gini index,34.0,34.0,34.0,34.0,34.0,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7
El Salvador,SLV,Gini index,43.5,42.3,41.8,43.4,41.6,40.6,40.0,38.0,38.6,38.8,38.8,39.0,38.8,38.8
Serbia,SRB,Gini index,39.9,39.9,39.9,39.5,40.5,40.5,38.8,36.2,35.0,34.5,35.0,33.1,33.1,33.1
Suriname,SUR,Gini index,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2
Slovak Republic,SVK,Gini index,27.3,26.5,26.1,28.1,26.1,26.5,25.2,23.2,25.0,23.2,24.2,24.1,24.1,24.1
Slovenia,SVN,Gini index,24.9,24.9,25.6,26.2,25.7,25.4,24.8,24.2,24.6,24.4,24.0,24.3,24.3,24.3
Sweden,SWE,Gini index,27.7,27.6,27.6,28.8,28.4,29.2,29.6,28.8,30.0,29.3,28.9,29.8,29.8,29.8
Eswatini,SWZ,Gini index,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6
Syrian Arab Republic,SYR,Gini index,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6
